ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE
279791336,1/1/2024,638,"HARASSMENT,SUBD 3,4,5",578,HARRASSMENT 2,PL 2402603,V,Q,103,0,45-64,F,BLACK
279884342,1/3/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,RR 00000V0,V,K,84,1,18-24,M,WHITE HISPANIC
279941426,1/4/2024,905,"INTOXICATED DRIVING,ALCOHOL",347,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,M,34,0,65+,M,BLACK HISPANIC
280050784,1/6/2024,862,"ALCOHOLIC BEVERAGES,PUBLIC CON",675,ADMINISTRATIVE CODE,AC 010125B,V,K,73,1,45-64,M,BLACK
280151753,1/8/2024,625,DISORDERLY CONDUCT,572,DISORDERLY CONDUCT,PL 2402005,V,M,5,0,18-24,F,WHITE
280160552,1/8/2024,625,DISORDERLY CONDUCT,572,DISORDERLY CONDUCT,PL 2402005,V,M,5,0,18-24,F,ASIAN / PACIFIC ISLANDER
280170053,1/8/2024,625,DISORDERLY CONDUCT,572,DISORDERLY CONDUCT,PL 2402005,V,M,5,0,18-24,M,BLACK
280149163,1/8/2024,625,DISORDERLY CONDUCT,572,DISORDERLY CONDUCT,PL 2402005,V,M,5,0,65+,F,WHITE
280244847,1/9/2024,905,"INTOXICATED DRIVING,ALCOHOL",347,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,K,63,0,65+,M,BLACK
280666132,1/17/2024,904,"INTOXICATED DRIVING,ALCOHOL",119,INTOXICATED/IMPAIRED DRIVING,VTL1192E1C,F,S,123,0,<18,F,WHITE HISPANIC
281352843,1/30/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,LOC00000V0,V,B,40,1,25-44,M,BLACK HISPANIC
281441797,1/31/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,LOC00000V0,V,K,72,0,25-44,M,BLACK
281448003,1/31/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,RR 00000V0,V,Q,104,1,25-44,M,WHITE HISPANIC
281488923,2/1/2024,477,THEFT OF SERVICES- CABLE TV SE,678,MISCELLANEOUS PENAL LAW,PL 1651504,V,B,47,0,25-44,M,BLACK HISPANIC
281559845,2/2/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,RR 00000V0,V,K,75,1,25-44,M,WHITE HISPANIC
281554144,2/2/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,RR 00000V0,V,K,77,1,25-44,M,BLACK
281622032,2/3/2024,638,"HARASSMENT,SUBD 3,4,5",578,HARRASSMENT 2,PL 2402603,V,B,43,0,25-44,M,BLACK
281624384,2/3/2024,862,"ALCOHOLIC BEVERAGES,PUBLIC CON",675,ADMINISTRATIVE CODE,AC 010125B,V,K,72,0,25-44,M,WHITE HISPANIC
281631268,2/4/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,LOC00000V0,V,M,14,1,25-44,M,WHITE HISPANIC
282007792,2/10/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,LOC00000V0,V,M,13,1,45-64,M,BLACK
282088834,2/12/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,LOC00000V0,V,B,47,1,45-64,M,BLACK
282063952,2/12/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,LOC00000V0,V,M,33,1,65+,M,BLACK
283011891,2/29/2024,905,"INTOXICATED DRIVING,ALCOHOL",347,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,S,122,0,65+,M,WHITE
282997268,2/29/2024,577,CANNABIS POSSESSION,250,CANNABIS RELATED OFFENSES,PL 2222500,V,K,60,0,18-24,M,BLACK
283049595,3/1/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,LOC00000V0,V,B,40,1,18-24,M,BLACK
283104013,3/2/2024,905,"INTOXICATED DRIVING,ALCOHOL",347,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,Q,110,0,65+,M,BLACK
283097176,3/2/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,LOC00000V0,V,M,14,1,18-24,F,WHITE HISPANIC
283390156,3/8/2024,477,THEFT OF SERVICES- CABLE TV SE,678,MISCELLANEOUS PENAL LAW,PL 1651509,V,M,13,0,65+,M,WHITE
283757514,3/14/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,LOC00000V0,V,K,73,1,25-44,M,BLACK
283821572,3/15/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,LOC00000V0,V,M,1,1,45-64,M,BLACK
283890790,3/17/2024,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,LOC00000V0,V,B,46,1,25-44,M,BLACK
